order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
36,,2024-03-02,361,1,351.18,351.18,Completed,2024-03-05
37,,2024-08-31,368,3,481.41,1444.23,Completed,2024-09-05
38,,2025-04-15,123,5,11.30,56.50,Pending,
39,,2024-05-26,315,1,437.67,437.67,Completed,2024-06-01
40,,2023-03-31,45,6,110.08,660.48,Completed,2023-04-05
41,,2023-07-06,376,7,100.17,701.19,Completed,2023-07-13
42,,2024-04-25,8,9,292.89,2636.01,Cancelled,
43,,2024-09-18,378,3,43.29,129.87,Completed,2024-09-19
44,,2025-05-02,432,2,217.28,434.56,Completed,2025-05-04
45,,2025-01-04,311,9,140.10,1260.90,Completed,2025-01-09
46,,2023-08-28,72,8,341.05,2728.40,Completed,2023-09-02
47,,2024-01-29,313,9,412.60,3713.40,Completed,2024-01-31
48,,2024-06-20,281,6,42.21,253.26,Completed,2024-06-24
49,,2025-07-18,409,6,300.18,1801.08,Completed,2025-07-21
50,,2025-04-27,221,4,135.41,541.64,Pending,
51,,2024-08-31,107,6,263.14,1578.84,Completed,2024-09-05
52,,2023-03-16,472,6,317.99,1907.94,Completed,2023-03-18
53,,2024-05-21,422,4,341.79,1367.16,Completed,2024-05-25
54,,2023-05-29,74,9,120.06,1080.54,Completed,2023-05-30
55,,2025-05-29,357,5,78.66,393.30,Completed,2025-06-05
56,,2023-03-31,427,1,189.23,189.23,Cancelled,
57,,2024-08-17,114,4,417.98,1671.92,Pending,
58,,2023-12-23,324,8,322.58,2580.64,Completed,2023-12-30
59,,2023-10-22,330,5,288.29,1441.45,Completed,2023-10-24
60,,2025-04-01,440,10,438.65,4386.50,Completed,2025-04-01
61,,2023-06-16,423,5,172.17,860.85,Completed,2023-06-18
62,,2023-04-02,310,4,400.40,1601.60,Completed,2023-04-02
63,,2024-07-08,294,9,487.92,4391.28,Pending,
64,,2023-02-07,153,5,437.46,2187.30,Completed,2023-02-10
65,,2025-07-13,71,2,220.64,441.28,Completed,2025-07-19
66,,2025-01-25,391,2,198.07,396.14,Completed,2025-01-27
67,,2023-10-05,84,3,209.71,629.13,Completed,2023-10-08
68,,2025-04-11,83,6,83.90,503.40,Completed,2025-04-18
69,,2024-09-12,214,10,223.74,2237.40,Pending,
70,,2025-04-14,189,5,234.43,1172.15,Pending,
71,,2023-04-21,17,9,380.32,3422.88,Completed,2023-04-22
72,,2023-02-01,333,4,370.93,1483.72,Pending,
73,,2024-07-19,474,6,260.53,1563.18,Completed,2024-07-20
74,,2025-04-04,439,5,277.70,1388.50,Completed,2025-04-07
75,,2023-09-15,388,3,462.83,1388.49,Completed,2023-09-19
76,,2025-01-24,481,6,405.47,2432.82,Completed,2025-01-27
77,,2025-04-24,442,5,431.90,2159.50,Completed,2025-04-27
78,,2023-07-19,9,8,429.10,3432.80,Completed,2023-07-26
79,,2024-11-23,223,6,433.47,2600.82,Completed,2024-11-24
80,,2024-09-13,401,3,290.25,870.75,Completed,2024-09-13
81,,2023-03-15,384,1,286.84,286.84,Completed,2023-03-17
82,,2024-09-20,351,2,330.22,660.44,Cancelled,
83,,2023-06-05,181,1,145.17,145.17,Completed,2023-06-12
84,,2023-03-09,125,9,396.03,3564.27,Completed,2023-03-14
85,,2024-12-18,316,9,284.82,2563.38,Completed,2024-12-20
86,,2024-04-30,183,8,297.32,2378.56,Cancelled,
87,,2023-06-22,390,4,465.14,1860.56,Pending,
88,,2024-04-08,381,7,18.39,128.73,Completed,2024-04-11
89,,2023-11-20,76,7,205.82,1440.74,Completed,2023-11-23
90,,2023-03-04,87,1,249.22,249.22,Completed,2023-03-05
91,,2024-01-01,398,6,60.08,360.48,Completed,2024-01-02
92,,2025-08-27,36,8,405.92,3247.36,Completed,2025-08-29
93,,2024-12-08,119,4,51.73,206.92,Completed,2024-12-13
94,,2023-11-10,96,2,306.88,613.76,Completed,2023-11-17
95,,2024-08-31,45,10,110.08,1100.80,Completed,2024-09-02
96,,2023-05-21,357,8,78.66,629.28,Completed,2023-05-23
97,,2023-10-28,73,4,262.56,1050.24,Completed,2023-10-30
98,,2023-05-04,465,8,481.98,3855.84,Completed,2023-05-06
99,,2025-03-10,16,3,449.92,1349.76,Completed,2025-03-10
100,,2023-06-06,411,8,78.19,625.52,Completed,2023-06-08
101,4666,2024-10-17,,9,273.42,2460.78,Cancelled,2024-10-19
102,4557,2023-04-14,,6,364.43,2186.58,Completed,2023-04-21
103,4611,2024-07-05,,9,322.58,2903.22,Completed,2024-07-10
104,5533,2023-01-13,,9,292.35,2631.15,Pending,
105,7672,2025-06-05,,3,13.23,39.69,Completed,2025-06-07
106,9409,2023-11-10,,5,370.93,1854.65,Completed,2023-11-10
107,9365,2024-06-15,,10,32.96,329.60,Completed,2024-06-18
108,3227,2025-06-30,,3,302.51,907.53,Pending,
109,3379,2024-06-14,,3,481.98,1445.94,Completed,2024-06-16
110,3537,2025-03-11,,3,396.03,1188.09,Pending,
111,8280,2025-08-27,,2,255.12,510.24,Completed,2025-09-02
112,2816,2023-12-26,,5,354.31,1771.55,Cancelled,2023-12-26
113,7500,2023-05-10,,8,91.65,733.20,Completed,2023-05-11
114,3662,2023-11-06,,9,137.77,1239.93,Completed,2023-11-06
115,5032,2025-04-21,,3,131.46,394.38,Completed,2025-04-28
116,4290,2023-07-21,,10,50.38,503.80,Pending,
117,868,2024-06-09,,4,302.51,1210.04,Completed,2024-06-14
118,6032,2024-10-28,,7,60.26,421.82,Completed,2024-11-02
119,7577,2024-04-11,,4,101.28,405.12,Cancelled,
120,9108,2023-12-13,,9,438.06,3942.54,Completed,2023-12-15
121,6819,2023-08-08,,4,299.33,1197.32,Completed,2023-08-14
122,442,2023-12-20,,4,423.79,1695.16,Completed,2023-12-20
123,6273,2023-05-20,,1,162.09,162.09,Completed,2023-05-21
124,7495,2023-02-16,,6,121.78,730.68,Completed,2023-02-17
125,269,2023-12-05,,4,321.93,1287.72,Completed,2023-12-06
126,7116,2023-05-12,,3,475.98,1427.94,Cancelled,
127,2163,2025-03-23,,2,385.24,770.48,Completed,2025-03-29
128,5119,2024-05-01,,5,473.13,2365.65,Pending,
129,3742,2024-06-15,,2,433.36,866.72,Completed,2024-06-16
130,6162,2024-02-16,,9,465.09,4185.81,Completed,2024-02-22
131,2965,2024-03-03,,4,368.85,1475.40,Completed,2024-03-04
132,3380,2023-04-09,,9,244.30,2198.70,Cancelled,
133,8422,2025-03-28,,9,171.54,1543.86,Completed,2025-04-04
134,7704,2023-03-18,,2,334.34,668.68,Pending,
135,9525,2024-11-27,,1,433.98,433.98,Completed,2024-11-30
136,2650,2024-10-04,,8,57.38,459.04,Completed,2024-10-06
137,5967,2023-08-07,,8,287.03,2296.24,Pending,
138,9893,2025-08-14,,7,346.18,2423.26,Completed,2025-08-19
139,9221,2025-07-12,,2,322.96,645.92,Completed,2025-07-13
140,5874,2025-03-18,,3,69.46,208.38,Pending,
141,1505,2023-08-30,,1,429.10,429.10,Completed,2023-09-05
142,7078,2025-08-29,,6,31.40,188.40,Completed,2025-08-31
143,7830,2024-05-16,,4,250.95,1003.80,Completed,2024-05-23
144,3348,2025-06-27,,6,484.80,2908.80,Completed,2025-06-30
145,6651,2023-10-19,,8,368.85,2950.80,Completed,2023-10-24
146,8400,2023-12-14,,9,334.34,3009.06,Completed,2023-12-21
147,3738,2024-01-10,,3,137.77,413.31,Completed,2024-01-14
148,3770,2025-03-30,,9,417.98,3761.82,Completed,2025-04-01
149,3109,2025-02-15,,2,224.49,448.98,Completed,2025-02-18
150,9456,2023-03-23,,2,437.67,875.34,Completed,2023-03-29
151,8220,2023-07-10,,7,300.02,2100.14,Completed,2023-07-11
152,3903,2024-09-10,,6,278.90,1673.40,Completed,2024-09-17
153,2867,2024-05-23,,7,198.53,1389.71,Completed,2024-05-30
154,2748,2023-10-16,,9,237.78,2140.02,Completed,2023-10-17
155,8413,2024-12-02,,7,454.39,3180.73,Completed,2024-12-07
156,4735,2023-03-04,,1,254.38,254.38,Pending,
157,469,2025-07-18,,4,44.70,178.80,Completed,2025-07-18
158,1640,2025-03-28,,2,419.10,838.20,Completed,2025-04-01
159,4750,2023-07-24,,4,86.22,344.88,Pending,
160,9374,2025-04-30,,4,491.36,1965.44,Completed,2025-05-05
161,9608,2025-03-24,,3,128.44,385.32,Completed,2025-03-28
162,766,2023-08-21,,4,110.66,442.64,Completed,2023-08-23
163,1185,2024-06-23,,3,390.08,1170.24,Completed,2024-06-23
164,6722,2023-09-25,,9,126.07,1134.63,Completed,2023-09-25
165,5220,2024-01-30,,6,45.89,275.34,Completed,2024-02-02
166,5998,2023-01-02,,4,439.74,1758.96,Completed,2023-01-06
167,9335,2024-12-18,,1,341.05,341.05,Cancelled,2024-12-19
168,821,2023-06-03,,5,174.82,874.10,Completed,2023-06-08
169,1551,2025-04-23,,3,386.20,1158.60,Completed,2025-04-25
170,6059,2023-12-14,,7,297.34,2081.38,Pending,
171,9412,2023-10-29,,9,124.44,1119.96,Completed,2023-11-02
172,5897,2024-08-30,,7,333.91,2337.37,Completed,2024-08-30
173,3508,2024-02-13,,4,269.94,1079.76,Completed,2024-02-17
174,5207,2024-10-14,,2,327.33,654.66,Completed,2024-10-18
175,4027,2024-08-28,,8,375.91,3007.28,Completed,2024-09-03
176,4821,2023-06-08,,4,243.94,975.76,Completed,2023-06-11
177,2527,2024-09-23,,10,228.42,2284.20,Completed,2024-09-29
178,898,2023-06-26,,4,433.36,1733.44,Pending,
179,6941,2023-06-07,,2,107.78,215.56,Completed,2023-06-14
180,149,2024-04-30,,4,357.78,1431.12,Completed,2024-05-05
181,422,2023-10-16,,9,188.34,1695.06,Completed,2023-10-23
182,2156,2024-10-27,,2,224.49,448.98,Completed,2024-10-31
183,9636,2025-05-04,,10,249.41,2494.10,Cancelled,
184,7935,2024-07-11,,10,473.20,4732.00,Pending,
185,7877,2024-11-03,,2,366.64,733.28,Completed,2024-11-05
186,889,2023-09-16,,8,137.77,1102.16,Cancelled,
187,5171,2024-11-18,,2,496.49,992.98,Completed,2024-11-25
188,8042,2025-08-29,,5,494.66,2473.30,Cancelled,2025-08-29
189,9162,2023-12-14,,7,234.03,1638.21,Completed,2023-12-21
190,9162,2023-03-10,,2,167.54,335.08,Completed,2023-03-17
191,4258,2025-05-29,,8,381.09,3048.72,Cancelled,2025-05-30
192,1293,2024-11-10,,3,221.61,664.83,Cancelled,
193,7872,2025-02-01,,7,84.88,594.16,Completed,2025-02-06
194,5752,2025-03-14,,6,313.49,1880.94,Completed,2025-03-17
195,2478,2023-06-02,,10,238.25,2382.50,Completed,2023-06-04
196,4771,2023-09-04,,6,173.34,1040.04,Completed,2023-09-10
197,6651,2023-06-16,,1,311.06,311.06,Completed,2023-06-20
198,6711,2025-04-11,,5,453.60,2268.00,Completed,2025-04-15
199,6082,2025-06-02,,2,290.62,581.24,Completed,2025-06-09
200,5624,2024-01-12,,10,13.96,139.60,Completed,2024-01-14
201,1530,2024-03-26,,6,426.94,2561.64,Pending,
202,5916,2023-11-10,,7,454.88,3184.16,Completed,2023-11-12
203,9939,2024-03-25,,7,34.77,243.39,Completed,2024-03-25
204,8301,2023-10-10,,6,108.38,650.28,Completed,2023-10-14
205,3610,2025-03-03,,7,100.17,701.19,Completed,2025-03-07
206,9555,2023-11-10,,8,60.26,482.08,Cancelled,
207,7935,2024-12-10,,1,467.53,467.53,Completed,2024-12-17
208,7040,2025-03-10,,9,337.23,3035.07,Completed,2025-03-14
209,9532,2024-08-17,,7,361.62,2531.34,Completed,2024-08-22
210,7169,2025-02-01,,7,32.96,230.72,Completed,2025-02-03
211,9193,2024-07-24,,5,46.02,230.10,Pending,
212,4091,2023-12-11,,4,481.41,1925.64,Completed,2023-12-12
213,8606,2025-01-01,,3,402.64,1207.92,Completed,2025-01-05
214,7673,2025-04-13,,8,276.38,2211.04,Completed,2025-04-13
215,9411,2024-12-28,,4,297.80,1191.20,Completed,2025-01-03
216,7464,2023-04-17,,7,477.25,3340.75,Completed,2023-04-19
217,996,2023-06-20,,1,77.25,77.25,Completed,2023-06-21
218,3866,2023-06-14,,1,400.40,400.40,Pending,
219,1491,2023-11-20,,5,169.67,848.35,Pending,
220,7090,2025-07-28,,5,311.59,1557.95,Completed,2025-08-01
221,2,2024-09-24,,1,300.18,300.18,Pending,
222,7666,2023-11-07,,3,450.75,1352.25,Completed,2023-11-11
223,2463,2023-08-18,,5,228.42,1142.10,Pending,
224,6555,2024-03-03,,10,365.72,3657.20,Cancelled,
225,324,2023-03-05,,9,418.08,3762.72,Completed,2023-03-08
226,958,2024-04-21,,7,78.41,548.87,Completed,2024-04-23
227,8235,2023-07-25,,7,124.44,871.08,Completed,2023-07-30
228,5515,2023-09-17,,7,455.59,3189.13,Completed,2023-09-19
229,6409,2023-04-28,,9,22.25,200.25,Cancelled,
230,6079,2024-12-20,,8,258.57,2068.56,Pending,
231,1920,2025-08-30,,2,341.79,683.58,Completed,2025-08-30
232,4591,2024-09-06,,8,426.94,3415.52,Completed,2024-09-10
233,9514,2023-12-30,,1,484.76,484.76,Pending,
234,6108,2024-06-13,,5,91.65,458.25,Completed,2024-06-15
235,6111,2025-06-28,,2,153.78,307.56,Completed,2025-06-28
236,3058,2023-06-17,,8,477.49,3819.92,Completed,2023-06-18
237,1192,2024-03-16,,2,129.42,258.84,Completed,2024-03-21
238,609,2023-12-25,,7,484.76,3393.32,Completed,2023-12-28
239,1766,2024-07-04,,3,250.95,752.85,Completed,2024-07-09
240,6141,2024-04-21,,10,220.64,2206.40,Completed,2024-04-23
241,8526,2024-05-01,,7,66.28,463.96,Completed,2024-05-01
242,2847,2025-05-17,,4,180.12,720.48,Completed,2025-05-23
243,9183,2025-03-11,,9,117.22,1054.98,Completed,2025-03-11
244,8966,2024-04-15,,10,128.06,1280.60,Pending,
245,9547,2023-06-11,,8,336.74,2693.92,Completed,2023-06-16
246,2177,2025-01-20,,2,73.04,146.08,Completed,2025-01-25
247,554,2023-08-24,,7,337.23,2360.61,Completed,2023-08-26
248,8150,2024-08-27,,7,338.35,2368.45,Completed,2024-08-31
249,3083,2023-06-19,,2,439.74,879.48,Completed,2023-06-19
250,8894,2025-04-09,,7,18.39,128.73,Completed,2025-04-09
251,4114,2024-03-01,,7,327.33,2291.31,Completed,2024-03-06
252,8088,2023-04-30,,5,191.38,956.90,Completed,2023-05-05
253,3723,2023-09-14,,7,108.38,758.66,Completed,2023-09-15
254,6456,2023-07-01,,5,320.47,1602.35,Completed,2023-07-02
255,7143,2024-02-12,,5,396.03,1980.15,Completed,2024-02-13
256,159,2025-05-07,,9,204.00,1836.00,Completed,2025-05-13
257,396,2025-03-12,,9,491.36,4422.24,Cancelled,
258,8892,2023-06-20,,2,276.38,552.76,Completed,2023-06-25
259,7864,2025-08-27,,10,438.06,4380.60,Completed,2025-09-02
260,9031,2024-06-04,,5,341.05,1705.25,Completed,2024-06-09
261,1432,2024-02-08,,1,287.49,287.49,Completed,2024-02-12
262,759,2025-05-31,,4,132.33,529.32,Cancelled,2025-06-02
263,7386,2023-01-01,,1,417.98,417.98,Completed,2023-01-05
264,6748,2023-05-16,,6,403.99,2423.94,Completed,2023-05-19
265,4903,2025-07-10,,4,358.78,1435.12,Completed,2025-07-11
266,5071,2024-02-15,,1,346.18,346.18,Completed,2024-02-18
267,3491,2025-01-06,,10,375.91,3759.10,Completed,2025-01-12
268,9638,2023-01-14,,5,459.55,2297.75,Completed,2023-01-19
269,9831,2024-03-19,,9,189.23,1703.07,Completed,2024-03-23
270,6886,2024-06-17,,5,475.23,2376.15,Completed,2024-06-17
271,8317,2025-07-18,,6,473.13,2838.78,Completed,2025-07-20
272,8912,2023-11-05,,3,323.85,971.55,Completed,2023-11-09
273,3106,2024-02-27,,4,262.56,1050.24,Completed,2024-02-29
274,5134,2023-12-05,,10,359.65,3596.50,Completed,2023-12-06
275,1579,2024-12-25,,5,52.32,261.60,Completed,2024-12-25
276,6164,2025-02-09,,5,144.52,722.60,Completed,2025-02-09
277,77,2024-09-03,,8,85.81,686.48,Completed,2024-09-04
278,9388,2023-06-04,,2,412.60,825.20,Pending,
279,1769,2025-05-21,,2,78.68,157.36,Completed,2025-05-23
280,8556,2025-01-23,,1,306.88,306.88,Completed,2025-01-29
281,4601,2024-12-25,,10,88.00,880.00,Completed,2024-12-25
282,3794,2023-01-10,,8,254.38,2035.04,Completed,2023-01-17
283,622,2024-09-18,,5,83.77,418.85,Completed,2024-09-19
284,237,2024-02-27,,6,273.42,1640.52,Pending,
285,2640,2024-11-17,,10,453.60,4536.00,Completed,2024-11-24
286,5715,2024-01-07,,3,493.56,1480.68,Completed,2024-01-14
287,1000,2024-07-07,,9,325.88,2932.92,Completed,2024-07-11
288,4460,2024-11-12,,3,173.34,520.02,Completed,2024-11-14
289,1983,2023-01-21,,3,438.65,1315.95,Completed,2023-01-27
290,5927,2023-01-06,,6,144.82,868.92,Completed,2023-01-06
291,7843,2024-09-23,,2,64.65,129.30,Completed,2024-09-23
292,6019,2023-11-07,,9,376.19,3385.71,Completed,2023-11-13
293,3499,2023-09-22,,5,226.22,1131.10,Completed,2023-09-23
294,3772,2025-03-30,,7,477.49,3342.43,Pending,
295,2534,2025-04-19,,5,161.12,805.60,Pending,
296,6969,2023-05-07,,1,297.34,297.34,Cancelled,
297,8637,2023-01-06,,8,328.56,2628.48,Completed,2023-01-07
298,8043,2023-06-18,,1,260.13,260.13,Completed,2023-06-22
299,152,2023-08-30,,7,362.67,2538.69,Cancelled,
300,6924,2024-04-15,,9,386.88,3481.92,Completed,2024-04-20
301,10001,2024-08-23,82,10,359.63,3596.30,Pending,
302,10002,2023-05-20,420,7,265.34,1857.38,Completed,2023-05-21
303,10003,2024-05-07,308,7,258.57,1809.99,Completed,2024-05-10
304,10004,2024-04-13,118,9,250.95,2258.55,Completed,2024-04-15
305,10005,2023-07-17,4,9,298.73,2688.57,Completed,2023-07-17
306,10006,2023-02-17,44,8,313.49,2507.92,Completed,2023-02-23
307,10007,2023-09-13,22,1,84.88,84.88,Completed,2023-09-14
308,10008,2023-01-27,25,7,72.90,510.30,Completed,2023-02-02
309,10009,2023-09-17,441,3,433.98,1301.94,Completed,2023-09-20
310,10010,2025-05-13,495,5,487.52,2437.60,Completed,2025-05-18
311,10011,2025-03-30,260,9,153.78,1384.02,Completed,2025-04-01
312,10012,2023-09-18,442,4,431.90,1727.60,Completed,2023-09-25
313,10013,2024-03-19,439,5,277.70,1388.50,Completed,2024-03-24
314,10014,2024-08-21,299,8,483.67,3869.36,Completed,2024-08-27
315,10015,2023-05-15,404,7,234.34,1640.38,Completed,2023-05-20
316,10016,2024-05-10,16,7,449.92,3149.44,Completed,2024-05-12
317,10017,2024-06-19,199,1,484.51,484.51,Completed,2024-06-24
318,10018,2024-08-30,98,4,471.31,1885.24,Pending,
319,10019,2025-06-18,420,9,265.34,2388.06,Completed,2025-06-25
320,10020,2023-05-22,400,1,433.21,433.21,Completed,2023-05-26
321,10021,2025-02-21,394,10,121.78,1217.80,Completed,2025-02-23
322,10022,2025-03-19,395,2,51.98,103.96,Completed,2025-03-26
323,10023,2023-05-21,313,2,412.60,825.20,Completed,2023-05-27
324,10024,2025-06-01,367,6,244.89,1469.34,Completed,2025-06-06
325,10025,2024-08-20,230,5,495.57,2477.85,Completed,2024-08-24
326,10026,2024-10-06,278,5,358.78,1793.90,Completed,2024-10-07
327,10027,2025-06-22,146,8,233.11,1864.88,Completed,2025-06-25
328,10028,2023-04-29,47,7,45.89,321.23,Completed,2023-05-06
329,10029,2023-11-20,137,1,315.08,315.08,Completed,2023-11-24
330,10030,2024-10-14,231,3,199.82,599.46,Completed,2024-10-15
331,10031,2024-01-20,117,4,100.33,401.32,Pending,
332,10032,2024-03-15,149,6,71.85,431.10,Completed,2024-03-21
333,10033,2023-12-15,40,2,85.84,171.68,Completed,2023-12-20
334,10034,2024-12-18,490,4,372.38,1489.52,Pending,
335,10035,2025-07-06,107,5,263.14,1315.70,Cancelled,2025-07-08
336,10036,2023-02-21,86,10,243.71,2437.10,Completed,2023-02-21
337,10037,2023-03-20,175,1,455.59,455.59,Completed,2023-03-22
338,10038,2024-10-19,162,6,290.23,1741.38,Cancelled,
339,10039,2023-09-25,121,6,159.63,957.78,Pending,
340,10040,2023-03-26,255,1,101.77,101.77,Completed,2023-03-29
341,10041,2023-09-22,128,3,239.65,718.95,Completed,2023-09-26
342,10042,2024-01-16,237,2,104.07,208.14,Completed,2024-01-22
343,10043,2025-04-29,309,2,409.71,819.42,Completed,2025-05-01
344,10044,2024-02-21,30,5,44.71,223.55,Pending,
345,10045,2023-03-20,55,8,418.94,3351.52,Completed,2023-03-27
346,10046,2025-03-25,468,5,252.48,1262.40,Cancelled,
347,10047,2024-02-03,279,6,69.46,416.76,Completed,2024-02-03
348,10048,2024-02-22,289,1,414.36,414.36,Completed,2024-02-28
349,10049,2023-07-05,100,2,180.12,360.24,Completed,2023-07-07
350,10050,2024-04-13,285,9,159.01,1431.09,Cancelled,
351,6210,2023-08-31,501,9,210.47,1894.23,Completed,2023-09-06
352,1304,2023-10-17,502,4,351.62,1406.48,Completed,2023-10-23
353,1899,2023-05-20,503,10,85.84,858.40,Completed,2023-05-23
354,9732,2023-02-08,504,4,465.09,1860.36,Completed,2023-02-14
355,5692,2024-10-24,505,9,231.84,2086.56,Completed,2024-10-27
356,72,2025-03-30,506,10,298.73,2987.30,Completed,2025-04-02
357,4960,2023-03-25,507,9,252.48,2272.32,Completed,2023-03-30
358,5203,2025-08-11,508,7,254.38,1780.66,Completed,2025-08-17
359,9042,2024-10-10,509,10,330.22,3302.20,Pending,
360,9343,2024-07-21,510,9,84.88,763.92,Completed,2024-07-23
361,1033,2023-07-26,511,1,364.84,364.84,Completed,2023-07-26
362,9086,2024-12-02,512,3,351.18,1053.54,Completed,2024-12-08
363,3281,2023-12-13,513,7,137.77,964.39,Completed,2023-12-18
364,6600,2023-12-28,514,7,425.10,2975.70,Completed,2023-12-30
365,518,2024-07-21,515,6,73.04,438.24,Completed,2024-07-23
366,2669,2023-01-08,516,6,199.82,1198.92,Completed,2023-01-12
367,4708,2025-03-26,517,6,402.64,2415.84,Completed,2025-04-01
368,7372,2024-12-15,518,2,198.53,397.06,Completed,2024-12-17
369,9902,2025-06-27,519,10,249.91,2499.10,Completed,2025-07-02
370,8928,2024-11-14,520,10,185.64,1856.40,Pending,
371,5859,2024-08-28,521,5,144.52,722.60,Pending,
372,4598,2024-01-26,522,2,71.85,143.70,Completed,2024-02-01
373,298,2023-12-30,523,3,443.84,1331.52,Completed,2024-01-02
374,4500,2025-01-25,524,10,400.40,4004.00,Completed,2025-01-30
375,194,2024-06-15,525,1,354.39,354.39,Completed,2024-06-17
376,4265,2025-01-26,526,10,464.55,4645.50,Cancelled,
377,137,2025-08-13,527,2,170.69,341.38,Completed,2025-08-17
378,2561,2024-07-26,528,2,209.71,419.42,Completed,2024-07-29
379,2618,2024-04-27,529,1,348.39,348.39,Completed,2024-05-04
380,4719,2023-07-12,530,6,210.47,1262.82,Completed,2023-07-12
1,2019,2024-10-26,29,8,13.51,108.08,Completed,2024-10-26
2,2410,2025-07-16,377,6,473.13,2838.78,Completed,2025-07-21
3,9527,2024-07-07,235,3,338.35,1015.05,Completed,2024-07-11
4,6461,2023-10-29,210,8,32.24,257.92,Completed,2023-11-02
5,9919,2023-05-18,465,4,481.98,1927.92,Completed,2023-05-24
6,5096,2024-09-19,409,10,300.18,3001.80,Cancelled,
7,3014,2025-07-02,253,1,40.77,40.77,Pending,
8,8393,2025-01-27,316,8,284.82,2278.56,Completed,2025-01-30
9,9945,2025-08-02,417,9,228.42,2055.78,Completed,2025-08-07
10,8473,2025-07-04,234,10,301.56,3015.60,Completed,2025-07-10
11,7121,2023-11-23,210,6,32.24,193.44,Completed,2023-11-28
12,3660,2023-10-18,17,4,380.32,1521.28,Completed,2023-10-24
13,7364,2023-09-17,106,1,400.93,400.93,Completed,2023-09-17
14,125,2024-01-15,27,10,205.50,2055.00,Completed,2024-01-20
15,7150,2024-05-25,241,4,378.66,1514.64,Completed,2024-05-27
16,6771,2024-01-30,259,8,319.54,2556.32,Pending,
17,2244,2025-03-07,394,9,121.78,1096.02,Completed,2025-03-11
18,1794,2024-01-12,160,3,46.18,138.54,Completed,2024-01-15
19,6881,2025-07-18,10,3,191.38,574.14,Completed,2025-07-24
20,9871,2024-06-07,12,9,345.45,3109.05,Completed,2024-06-12
401,8109,2023-07-23,273,8,328.27,2626.16,Cancelled,
402,4432,2024-02-25,402,5,141.51,707.55,Completed,2024-02-29
403,2855,2025-08-08,257,6,184.97,1109.82,Completed,2025-08-15
404,5059,2023-06-09,401,7,290.25,2031.75,Cancelled,
405,6683,2024-05-16,175,3,455.59,1366.77,Completed,2024-05-22
406,5300,2024-06-26,183,3,297.32,891.96,Completed,2024-06-26
407,849,2024-12-25,41,8,376.50,3012.00,Completed,2024-12-31
408,6449,2024-10-06,441,7,433.98,3037.86,Completed,2024-10-07
409,5256,2025-06-30,210,4,32.24,128.96,Pending,
410,7185,2024-08-10,456,6,50.38,302.28,Completed,2024-08-17
411,7517,2024-01-25,240,7,31.40,219.80,Completed,2024-01-25
412,555,2023-06-24,408,1,169.67,169.67,Completed,2023-06-25
413,3918,2025-02-22,239,3,89.49,268.47,Completed,2025-02-27
414,1154,2023-11-17,69,6,351.62,2109.72,Completed,2023-11-24
