product_id,product_name,category,price,cost,stock_quantity,reorder_level
233,Ultra Drone 233,Home & Garden,173.34,106.93,289,99
234,Classic Moisturizer 234,Home & Garden,301.56,143.18,634,153
235,Smart Jacket 235,Home & Garden,338.35,175.40,1513,185
236,Essential Moisturizer 236,Toys,259.15,218.39,632,56
237,Ultra Jacket 237,Groceries,104.07,46.83,317,29
238,Smart Drone 238,Electronics,334.34,166.98,1265,43
239,Deluxe Blender 239,Home & Garden,89.49,46.31,1579,169
240,Classic Backpack 240,Groceries,31.40,22.11,1473,70
241,Essential Novel 241,Books,378.66,203.14,479,146
242,Classic Sneakers 242,Groceries,452.94,349.85,1389,156
243,Deluxe Yoga Mat 243,Books,391.27,253.87,857,51
244,Smart Jacket 244,Home & Garden,437.76,362.96,984,105
245,Smart Blender 245,Clothing,149.67,81.53,558,125
246,Ultra Headphones 246,Toys,54.93,26.68,1672,125
247,Pro Moisturizer 247,Toys,36.09,23.43,482,108
248,Eco Moisturizer 248,Sports & Outdoors,23.80,11.37,1718,192
249,Eco Blender 249,Home & Garden,77.41,56.92,1699,130
250,Ultra Yoga Mat 250,Groceries,229.80,194.85,162,14
251,Pro Novel 251,Home & Garden,278.90,155.94,1080,118
252,Deluxe Backpack 252,Sports & Outdoors,157.55,130.91,859,173
253,Smart Headphones 253,Groceries,40.77,21.01,1023,162
254,Ultra Yoga Mat 254,Sports & Outdoors,362.08,265.58,3,167
255,Pro Lamp 255,Toys,101.77,59.31,1072,102
256,Ultra Novel 256,Electronics,201.31,133.26,1301,109
257,Eco Jacket 257,Electronics,184.97,152.22,493,197
258,Essential Sneakers 258,Beauty,75.36,53.44,693,174
259,Deluxe Sneakers 259,Groceries,319.54,167.89,129,193
260,Ultra Novel 260,Electronics,153.78,128.02,408,20
261,Deluxe Yoga Mat 261,Toys,494.66,313.01,518,19
262,Ultra Novel 262,Books,184.91,99.42,1773,177
263,Classic Drone 263,Clothing,401.67,271.21,819,200
264,Deluxe Lamp 264,Beauty,487.11,317.36,1018,104
265,Smart Blender 265,Books,402.55,225.09,161,120
266,Ultra Sneakers 266,Books,167.38,136.92,1353,85
267,Eco Moisturizer 267,Toys,91.65,61.63,915,20
268,Pro Drone 268,Toys,144.52,66.19,1941,24
269,Essential Backpack 269,Beauty,261.40,143.78,327,17
270,Ultra Moisturizer 270,Groceries,27.04,22.26,1594,175
271,Classic Moisturizer 271,Toys,475.23,397.79,314,183
272,Ultra Drone 272,Beauty,227.52,186.40,281,145
273,Eco Blender 273,Beauty,328.27,246.26,232,16
274,Deluxe Novel 274,Groceries,263.69,127.78,241,77
275,Essential Jacket 275,Groceries,115.13,69.68,1421,135
276,Classic Jacket 276,Home & Garden,427.87,286.33,1840,192
277,Ultra Novel 277,Beauty,337.23,190.94,1126,148
278,Deluxe Moisturizer 278,Home & Garden,358.78,171.88,1306,54
279,Deluxe Sneakers 279,Sports & Outdoors,69.46,53.46,284,70
280,Essential Backpack 280,Electronics,186.83,116.04,957,151
281,Classic Lamp 281,Clothing,42.21,29.15,1468,194
282,Ultra Jacket 282,Toys,386.88,201.43,151,42
283,Eco Backpack 283,Groceries,238.25,153.21,262,151
284,Deluxe Jacket 284,Home & Garden,386.20,308.34,1029,24
285,Essential Moisturizer 285,Home & Garden,159.01,124.86,1914,191
286,Ultra Blender 286,Books,424.50,318.27,1300,151
287,Smart Backpack 287,Books,311.06,252.78,1312,53
288,Ultra Backpack 288,Home & Garden,93.88,56.35,1847,164
289,Deluxe Backpack 289,Electronics,414.36,347.50,93,174
290,Eco Headphones 290,Books,329.04,178.74,853,168
291,Classic Yoga Mat 291,Groceries,445.60,281.52,1314,87
292,Classic Drone 292,Toys,155.73,127.83,122,50
293,Deluxe Moisturizer 293,Groceries,237.57,169.60,294,90
294,Smart Jacket 294,Beauty,487.92,389.21,758,141
295,Essential Jacket 295,Beauty,128.44,102.88,920,73
296,Essential Blender 296,Electronics,152.19,105.98,1260,117
297,Classic Lamp 297,Beauty,467.53,262.54,388,50
298,Classic Lamp 298,Groceries,254.38,184.83,47,33
299,Pro Novel 299,Groceries,483.67,369.49,722,22
300,Ultra Lamp 300,Groceries,302.77,155.28,1377,130
301,Eco Moisturizer 301,Electronics,425.10,288.06,1807,77
302,Essential Moisturizer 302,Toys,189.30,130.57,1167,153
303,Ultra Backpack 303,Books,46.02,29.84,1565,150
304,Smart Moisturizer 304,Clothing,73.04,59.26,764,96
305,Pro Headphones 305,Home & Garden,107.53,69.50,1024,20
306,Essential Backpack 306,Home & Garden,359.65,190.04,1063,126
307,Smart Novel 307,Home & Garden,170.69,103.23,332,110
308,Smart Novel 308,Beauty,258.57,167.07,1003,191
309,Classic Backpack 309,Groceries,409.71,287.88,1379,38
310,Pro Backpack 310,Books,400.40,224.17,1409,171
311,Smart Yoga Mat 311,Groceries,140.10,82.35,1990,158
312,Smart Drone 312,Electronics,295.92,231.35,1288,194
313,Pro Yoga Mat 313,Home & Garden,412.60,310.74,1172,189
314,Essential Drone 314,Electronics,226.10,154.31,845,186
315,Essential Lamp 315,Groceries,437.67,243.20,127,190
316,Classic Moisturizer 316,Sports & Outdoors,284.82,128.38,979,144
317,Eco Novel 317,Home & Garden,235.23,149.78,1118,100
318,Essential Novel 318,Groceries,104.20,78.29,1142,86
319,Classic Moisturizer 319,Books,355.39,203.96,1001,91
320,Classic Moisturizer 320,Books,151.01,93.72,1112,107
321,Ultra Sneakers 321,Home & Garden,152.31,111.94,1462,30
322,Ultra Lamp 322,Books,376.19,287.56,1695,147
323,Essential Headphones 323,Books,77.25,46.64,1201,71
324,Eco Sneakers 324,Sports & Outdoors,322.58,267.42,846,94
325,Essential Drone 325,Clothing,343.77,273.30,1975,150
326,Ultra Novel 326,Groceries,243.94,187.89,1974,83
327,Smart Headphones 327,Electronics,454.88,370.37,1175,69
328,Deluxe Drone 328,Home & Garden,214.75,110.59,1912,19
329,Pro Headphones 329,Groceries,101.28,55.75,1786,84
330,Classic Lamp 330,Books,288.29,232.67,686,82
331,Ultra Yoga Mat 331,Groceries,445.73,354.94,1032,129
332,Eco Blender 332,Clothing,172.03,95.91,1327,75
333,Deluxe Yoga Mat 333,Electronics,370.93,197.96,1162,182
334,Smart Moisturizer 334,Home & Garden,309.36,183.92,830,119
335,Ultra Yoga Mat 335,Clothing,206.40,167.56,287,132
336,Ultra Novel 336,Electronics,137.77,104.13,1543,78
337,Eco Jacket 337,Electronics,138.15,97.56,483,25
338,Deluxe Novel 338,Groceries,160.33,110.28,1029,190
339,Essential Yoga Mat 339,Clothing,322.96,153.00,752,167
340,Classic Lamp 340,Home & Garden,244.30,163.19,1240,105
341,Deluxe Yoga Mat 341,Groceries,381.09,201.67,1690,65
342,Smart Jacket 342,Clothing,267.49,170.85,740,29
343,Smart Blender 343,Electronics,416.09,203.40,414,156
344,Essential Backpack 344,Home & Garden,170.77,109.61,238,184
345,Classic Blender 345,Groceries,54.55,35.23,1656,24
346,Deluxe Novel 346,Toys,233.82,193.35,946,182
347,Smart Jacket 347,Electronics,204.00,106.78,1527,65
348,Pro Sneakers 348,Electronics,217.60,124.00,1108,25
349,Eco Drone 349,Electronics,150.66,117.22,277,174
350,Classic Jacket 350,Beauty,496.49,346.06,1780,106
351,Classic Lamp 351,Home & Garden,330.22,234.75,365,147
352,Ultra Sneakers 352,Home & Garden,366.64,278.99,7,15
353,Ultra Blender 353,Toys,270.64,140.91,506,127
354,Pro Drone 354,Books,102.35,51.16,1567,38
355,Classic Backpack 355,Electronics,127.92,105.29,1216,18
356,Smart Yoga Mat 356,Electronics,129.91,108.12,898,69
357,Smart Moisturizer 357,Electronics,78.66,35.60,479,197
358,Essential Drone 358,Beauty,126.07,62.97,1352,143
359,Essential Drone 359,Books,144.82,90.84,1211,198
360,Classic Lamp 360,Groceries,32.96,23.48,1317,181
361,Essential Lamp 361,Beauty,351.18,241.15,614,106
362,Essential Sneakers 362,Groceries,128.06,97.31,1756,191
363,Essential Drone 363,Electronics,285.56,132.18,1141,145
364,Deluxe Moisturizer 364,Sports & Outdoors,134.94,96.87,161,125
365,Classic Backpack 365,Clothing,272.45,141.19,105,78
366,Eco Lamp 366,Electronics,438.06,339.38,1559,160
367,Pro Yoga Mat 367,Sports & Outdoors,244.89,122.99,681,87
368,Essential Backpack 368,Sports & Outdoors,481.41,386.61,1544,132
369,Classic Sneakers 369,Sports & Outdoors,204.34,154.13,658,82
370,Classic Jacket 370,Beauty,161.12,113.77,1807,137
371,Ultra Drone 371,Groceries,383.19,276.63,416,104
372,Ultra Lamp 372,Electronics,285.63,217.50,298,14
373,Smart Yoga Mat 373,Toys,154.63,119.30,471,107
374,Deluxe Sneakers 374,Groceries,279.80,132.24,691,75
375,Essential Lamp 375,Groceries,235.80,131.31,721,53
376,Smart Headphones 376,Groceries,100.17,49.51,1314,25
377,Classic Blender 377,Clothing,473.13,275.70,1565,11
378,Classic Moisturizer 378,Sports & Outdoors,43.29,34.18,447,139
379,Eco Sneakers 379,Electronics,312.73,182.41,1262,133
380,Smart Novel 380,Electronics,13.23,8.33,24,14
381,Deluxe Blender 381,Books,18.39,9.65,1380,120
382,Smart Lamp 382,Clothing,459.83,294.41,493,59
383,Ultra Drone 383,Books,409.45,304.25,812,30
384,Eco Jacket 384,Groceries,286.84,130.20,462,86
385,Pro Headphones 385,Electronics,55.81,38.97,1131,131
386,Smart Jacket 386,Home & Garden,50.51,25.85,1320,94
387,Classic Novel 387,Electronics,122.58,60.00,1417,155
388,Smart Headphones 388,Electronics,462.83,266.69,574,149
389,Smart Blender 389,Home & Garden,465.09,336.82,1969,63
390,Smart Drone 390,Toys,465.14,339.69,1154,71
391,Eco Jacket 391,Beauty,198.07,109.75,1618,186
392,Ultra Backpack 392,Beauty,36.30,24.51,1717,29
393,Deluxe Sneakers 393,Toys,484.76,348.76,1298,79
394,Essential Backpack 394,Groceries,121.78,76.57,768,120
395,Eco Jacket 395,Toys,51.98,31.32,1634,73
396,Essential Drone 396,Clothing,141.30,98.62,1605,172
397,Classic Moisturizer 397,Beauty,186.73,151.89,1931,88
398,Smart Lamp 398,Books,60.08,48.97,882,124
399,Smart Backpack 399,Toys,60.60,49.34,1135,33
400,Deluxe Jacket 400,Beauty,433.21,366.09,847,109
401,Essential Novel 401,Sports & Outdoors,290.25,227.02,779,53
402,Ultra Drone 402,Books,141.51,112.02,342,121
403,Eco Sneakers 403,Books,247.26,202.57,515,73
404,Ultra Backpack 404,Sports & Outdoors,234.34,186.49,13,111
405,Deluxe Backpack 405,Toys,403.99,290.14,685,120
406,Classic Moisturizer 406,Home & Garden,157.20,95.69,1423,61
407,Eco Sneakers 407,Home & Garden,482.63,223.22,596,198
408,Ultra Jacket 408,Sports & Outdoors,169.67,125.20,1609,110
409,Pro Sneakers 409,Sports & Outdoors,300.18,189.64,1396,150
410,Deluxe Drone 410,Sports & Outdoors,224.83,164.91,1418,27
411,Essential Drone 411,Groceries,78.19,56.99,517,178
412,Classic Lamp 412,Toys,46.23,20.98,981,159
413,Deluxe Lamp 413,Toys,276.38,147.51,736,189
414,Essential Backpack 414,Clothing,63.58,47.73,1361,100
415,Deluxe Moisturizer 415,Electronics,285.97,169.29,1324,112
416,Eco Lamp 416,Toys,61.90,50.18,454,140
417,Smart Lamp 417,Sports & Outdoors,228.42,158.42,1581,183
418,Classic Jacket 418,Home & Garden,179.02,150.41,214,85
419,Ultra Sneakers 419,Clothing,417.34,232.85,713,89
420,Eco Sneakers 420,Sports & Outdoors,265.34,188.57,199,122
421,Pro Moisturizer 421,Beauty,42.91,35.70,1455,39
422,Smart Blender 422,Clothing,341.79,268.05,1516,72
423,Deluxe Drone 423,Home & Garden,172.17,116.98,946,69
424,Eco Backpack 424,Home & Garden,101.32,59.48,810,17
425,Essential Yoga Mat 425,Sports & Outdoors,230.28,156.17,9,190
426,Pro Lamp 426,Books,378.63,199.35,128,157
427,Eco Sneakers 427,Home & Garden,189.23,145.93,233,77
428,Ultra Moisturizer 428,Beauty,302.51,183.16,1202,39
429,Smart Backpack 429,Groceries,312.50,163.91,1445,86
430,Pro Blender 430,Clothing,339.32,245.92,488,88
431,Essential Backpack 431,Beauty,349.77,225.84,856,162
432,Eco Blender 432,Toys,217.28,142.39,1100,187
433,Smart Headphones 433,Home & Garden,249.91,198.40,644,125
434,Smart Lamp 434,Beauty,476.39,312.59,399,108
435,Classic Blender 435,Groceries,210.47,137.50,1454,123
436,Pro Novel 436,Clothing,287.03,152.60,451,84
437,Eco Sneakers 437,Sports & Outdoors,273.42,214.01,936,154
438,Smart Headphones 438,Clothing,290.62,215.89,1112,103
439,Deluxe Yoga Mat 439,Groceries,277.70,126.10,209,198
440,Deluxe Jacket 440,Books,438.65,367.19,538,99
441,Essential Backpack 441,Groceries,433.98,348.51,1662,70
442,Smart Blender 442,Beauty,431.90,261.69,876,52
443,Smart Novel 443,Sports & Outdoors,408.62,215.68,1167,99
444,Ultra Lamp 444,Home & Garden,168.58,95.82,592,156
445,Ultra Blender 445,Clothing,76.43,42.03,842,25
446,Deluxe Drone 446,Home & Garden,132.33,74.83,1696,73
447,Classic Sneakers 447,Groceries,79.65,47.56,1285,116
448,Smart Novel 448,Clothing,320.47,159.58,190,113
449,Deluxe Jacket 449,Beauty,232.79,152.43,1191,10
450,Deluxe Lamp 450,Groceries,321.06,183.35,1741,26
451,Ultra Moisturizer 451,Toys,116.73,79.16,433,136
452,Deluxe Moisturizer 452,Books,175.49,108.60,1159,134
453,Pro Jacket 453,Electronics,32.50,19.49,1713,127
